Year,State,Sex,Education,Count
2014,New South Wales,Male,Postgraduate Degree,0
2014,New South Wales,Male,Graduate Diploma or Certificate,0
2014,New South Wales,Male,Bachelor Degree,0
2014,New South Wales,Male,Advanced Diploma or Diploma,0
2014,New South Wales,Male,Certificate III or IV,0
2014,New South Wales,Male,Year 12 or equivalent,0
2014,New South Wales,Male,Year 11 or equivalent,0
2014,New South Wales,Male,Year 10 or equivalent,0
2014,New South Wales,Female,Postgraduate Degree,0
2014,New South Wales,Female,Graduate Diploma or Certificate,0
2014,New South Wales,Female,Bachelor Degree,0
2014,New South Wales,Female,Advanced Diploma or Diploma,0
2014,New South Wales,Female,Certificate III or IV,0
2014,New South Wales,Female,Year 12 or equivalent,0
2014,New South Wales,Female,Year 11 or equivalent,0
2014,New South Wales,Female,Year 10 or equivalent,0
2014,Victoria,Male,Postgraduate Degree,0
2014,Victoria,Male,Graduate Diploma or Certificate,0
2014,Victoria,Male,Bachelor Degree,0
2014,Victoria,Male,Advanced Diploma or Diploma,0
2014,Victoria,Male,Certificate III or IV,0
2014,Victoria,Male,Year 12 or equivalent,0
2014,Victoria,Male,Year 11 or equivalent,0
2014,Victoria,Male,Year 10 or equivalent,0
2014,Victoria,Female,Postgraduate Degree,0
2014,Victoria,Female,Graduate Diploma or Certificate,0
2014,Victoria,Female,Bachelor Degree,0
2014,Victoria,Female,Advanced Diploma or Diploma,0
2014,Victoria,Female,Certificate III or IV,0
2014,Victoria,Female,Year 12 or equivalent,0
2014,Victoria,Female,Year 11 or equivalent,0
2014,Victoria,Female,Year 10 or equivalent,0
2014,Queensland,Male,Postgraduate Degree,0
2014,Queensland,Male,Graduate Diploma or Certificate,0
2014,Queensland,Male,Bachelor Degree,0
2014,Queensland,Male,Advanced Diploma or Diploma,0
2014,Queensland,Male,Certificate III or IV,0
2014,Queensland,Male,Year 12 or equivalent,0
2014,Queensland,Male,Year 11 or equivalent,0
2014,Queensland,Male,Year 10 or equivalent,0
2014,Queensland,Female,Postgraduate Degree,0
2014,Queensland,Female,Graduate Diploma or Certificate,0
2014,Queensland,Female,Bachelor Degree,0
2014,Queensland,Female,Advanced Diploma or Diploma,0
2014,Queensland,Female,Certificate III or IV,0
2014,Queensland,Female,Year 12 or equivalent,0
2014,Queensland,Female,Year 11 or equivalent,0
2014,Queensland,Female,Year 10 or equivalent,0
2014,South Australia,Male,Postgraduate Degree,0
2014,South Australia,Male,Graduate Diploma or Certificate,0
2014,South Australia,Male,Bachelor Degree,0
2014,South Australia,Male,Advanced Diploma or Diploma,0
2014,South Australia,Male,Certificate III or IV,0
2014,South Australia,Male,Year 12 or equivalent,0
2014,South Australia,Male,Year 11 or equivalent,0
2014,South Australia,Male,Year 10 or equivalent,0
2014,South Australia,Female,Postgraduate Degree,0
2014,South Australia,Female,Graduate Diploma or Certificate,0
2014,South Australia,Female,Bachelor Degree,0
2014,South Australia,Female,Advanced Diploma or Diploma,0
2014,South Australia,Female,Certificate III or IV,0
2014,South Australia,Female,Year 12 or equivalent,0
2014,South Australia,Female,Year 11 or equivalent,0
2014,South Australia,Female,Year 10 or equivalent,0
2014,Western Australia,Male,Postgraduate Degree,0
2014,Western Australia,Male,Graduate Diploma or Certificate,0
2014,Western Australia,Male,Bachelor Degree,0
2014,Western Australia,Male,Advanced Diploma or Diploma,0
2014,Western Australia,Male,Certificate III or IV,0
2014,Western Australia,Male,Year 12 or equivalent,0
2014,Western Australia,Male,Year 11 or equivalent,0
2014,Western Australia,Male,Year 10 or equivalent,0
2014,Western Australia,Female,Postgraduate Degree,0
2014,Western Australia,Female,Graduate Diploma or Certificate,0
2014,Western Australia,Female,Bachelor Degree,0
2014,Western Australia,Female,Advanced Diploma or Diploma,0
2014,Western Australia,Female,Certificate III or IV,0
2014,Western Australia,Female,Year 12 or equivalent,0
2014,Western Australia,Female,Year 11 or equivalent,0
2014,Western Australia,Female,Year 10 or equivalent,0
